,movielensId,imdbId,extroversion,neuroticism,agreeableness,conscientiousness,openess
109,364,tt0110357,0,1,0,0,1
110,370,tt0110622,0,0,0,0,1
111,377,tt0111257,0,0,1,1,1
112,49530,tt0450259,0,0,0,0,1
113,380,tt0111503,0,1,0,0,1
114,33162,tt0320661,0,1,0,0,1
115,407,tt0113409,0,0,0,0,1
116,410,tt0106220,1,1,1,0,0
117,8607,tt0388473,0,1,0,0,0
118,90531,tt1723811,1,1,1,1,1
119,106916,tt1800241,0,1,0,0,1
120,106920,tt1798709,0,1,0,0,1
121,431,tt0106519,0,0,0,0,1
122,8623,tt0093886,1,1,0,0,1
123,123310,tt0117942,1,1,1,1,1
124,441,tt0106677,1,1,0,1,0
125,8636,tt0316654,0,0,0,0,1
126,8638,tt0381681,0,1,1,0,1
127,8641,tt0357413,1,0,0,0,1
128,8644,tt0343818,0,0,0,0,1
129,8645,tt0390221,0,1,1,0,0
130,454,tt0106918,0,1,1,1,1
131,457,tt0106977,0,1,0,0,1
132,8665,tt0372183,0,1,0,0,1
133,474,tt0107206,0,0,0,0,1
134,480,tt0107290,0,0,1,0,1
135,481,tt0107302,0,1,0,0,1
136,497,tt0107616,0,1,1,1,1
137,74228,tt1187064,0,1,1,1,1
138,501,tt0107653,0,1,0,0,1
139,506,tt0107756,0,0,1,1,1
140,508,tt0107818,0,1,0,0,1
141,509,tt0107822,0,1,0,1,1
142,515,tt0107943,0,0,0,1,1
143,520,tt0107977,0,1,0,1,1
144,115210,tt2713180,0,1,0,0,1
145,524,tt0108002,0,0,0,0,1
146,527,tt0108052,0,1,0,0,1
147,534,tt0108101,0,0,0,1,1
148,90647,tt0448694,0,1,0,0,1
149,82459,tt1403865,0,1,0,0,1
150,539,tt0108160,0,1,0,1,1
151,541,tt0083658,0,1,0,0,1
152,82463,tt1431181,0,1,0,1,1
153,98852,tt0120530,0,1,0,0,1
154,551,tt0107688,0,0,0,0,1
155,555,tt0108399,0,0,0,0,1
156,66097,tt0327597,0,1,0,0,1
157,107069,tt1091191,0,0,1,0,1
158,8772,tt0059749,0,0,0,1,1
159,107081,tt0057714,0,1,0,0,1
160,587,tt0099653,0,1,0,0,1
161,588,tt0103639,0,0,0,0,1
162,589,tt0103064,0,0,0,0,1
163,590,tt0099348,0,0,0,0,1
164,8784,tt0333766,0,1,1,0,1
165,593,tt0102926,0,1,0,0,1
166,594,tt0029583,0,1,1,1,1
167,595,tt0101414,0,1,0,0,1
168,596,tt0032910,0,1,0,0,1
169,592,tt0096895,0,0,1,0,1
170,599,tt0065214,0,0,0,0,1
171,597,tt0100405,1,1,0,1,1
172,8798,tt0369339,0,0,0,1,1
173,41566,tt0363771,0,1,1,0,1
174,608,tt0116282,0,1,0,0,1
175,41569,tt0360717,0,1,1,0,1
176,8800,tt0345061,0,1,0,1,1
177,610,tt0082509,0,0,0,0,1
178,8807,tt0366551,0,1,0,1,1
179,616,tt0065421,0,1,0,1,1
180,628,tt0117381,0,1,0,1,1
181,107141,tt2140373,1,1,0,1,1
182,98956,tt2082197,0,1,0,0,1
183,98961,tt1790885,0,0,0,0,1
184,661,tt0116683,0,1,1,1,1
185,668,tt0048473,0,1,1,0,1
186,33437,tt0342258,0,1,0,0,1
187,8861,tt0318627,0,0,0,0,1
188,8873,tt0318462,0,0,1,1,1
189,8874,tt0365748,1,1,0,0,1
190,58025,tt0489099,0,1,1,0,1
191,74416,tt1232776,1,1,1,0,1
192,115381,tt1698641,0,1,1,1,1
193,58047,tt0832266,1,1,0,1,0
194,714,tt0112817,0,1,1,0,1
195,8914,tt0390384,0,0,0,0,1
196,724,tt0115963,0,0,1,0,1
197,74458,tt1130884,0,1,1,0,1
198,733,tt0117500,0,0,0,0,1
199,741,tt0113568,0,0,0,0,1
200,82667,tt1588170,0,1,0,0,1
201,750,tt0057012,0,0,0,0,1
202,90866,tt0970179,0,0,0,0,1
203,49910,tt0463998,0,1,0,0,0
204,8957,tt0387564,0,0,0,0,1
205,8958,tt0350258,1,0,1,0,1
206,8961,tt0317705,0,1,0,0,1
207,8965,tt0338348,0,0,1,1,1
208,778,tt0117951,0,1,0,0,1
209,8970,tt0308644,0,1,0,1,1
210,780,tt0116629,0,0,0,0,1
211,49932,tt0460829,0,0,0,0,1
212,799,tt0116365,0,1,0,0,1
213,805,tt0117913,0,0,0,0,1
214,99112,tt0790724,0,0,0,0,1
215,99114,tt1853728,0,1,0,0,1
216,9005,tt0106912,0,0,0,0,1
217,832,tt0117438,0,1,0,0,1
218,66371,tt1069238,0,1,0,0,0
219,838,tt0116191,0,1,0,0,1
220,33610,tt0035664,0,0,1,0,1
221,99149,tt1707386,0,1,0,0,1
222,33615,tt0351283,1,0,1,1,1
223,107348,tt1229340,1,0,1,1,1
224,858,tt0068646,0,0,1,0,1
225,115569,tt2872718,0,0,0,0,1
226,33660,tt0352248,0,1,0,0,1
227,898,tt0032904,0,1,1,1,1
228,899,tt0045152,0,1,0,0,1
229,903,tt0052357,0,1,0,0,1
230,904,tt0047396,0,1,1,0,1
231,905,tt0025316,0,1,0,0,1
232,906,tt0036855,0,0,0,1,1
233,908,tt0053125,0,0,0,0,1
234,909,tt0053604,0,1,0,0,1
235,910,tt0053291,1,1,0,1,0
236,107406,tt1706620,0,0,0,0,1
237,912,tt0034583,0,1,1,0,1
238,913,tt0033870,0,0,0,0,1
239,914,tt0058385,0,0,0,1,1
240,915,tt0047437,0,1,1,0,1
241,911,tt0056923,0,1,0,0,1
242,916,tt0046250,0,1,1,1,1
243,50068,tt0498380,0,0,0,0,1
244,919,tt0032138,0,0,0,1,1
245,920,tt0031381,1,1,1,0,1
246,922,tt0043014,0,1,1,1,1
247,923,tt0033467,0,0,0,0,1
248,924,tt0062622,0,0,1,0,1
249,926,tt0042192,0,1,0,1,1
250,927,tt0032143,0,1,0,0,1
251,928,tt0032976,0,1,1,1,1
252,115617,tt2245084,0,1,0,0,1
253,930,tt0038787,1,1,1,1,1
254,933,tt0048728,0,1,1,0,1
255,940,tt0029843,0,1,0,1,1
256,942,tt0037008,1,1,0,1,1
257,946,tt0035446,0,1,0,0,1
258,947,tt0028010,0,1,0,1,0
259,950,tt0025878,0,0,1,0,1
260,951,tt0032599,0,0,1,1,1
261,58295,tt0200465,0,1,0,1,1
262,953,tt0038650,0,1,0,0,1
263,954,tt0031679,0,0,0,0,1
264,955,tt0029947,0,1,0,0,1
265,58299,tt0451079,0,0,0,0,1
266,965,tt0026029,0,1,1,0,1
267,91077,tt1033575,0,1,1,1,0
268,968,tt0063350,0,1,1,0,1
269,66509,tt1201167,0,1,0,0,0
270,132046,tt1964418,0,0,0,0,1
271,91104,tt1324999,0,0,1,1,0
272,1013,tt0055277,1,1,1,0,1
273,91128,tt0376136,0,1,0,0,1
274,115705,tt0094847,0,0,0,0,1
275,1017,tt0054357,0,0,1,0,1
276,115708,tt0088805,0,0,0,0,1
277,1022,tt0042332,0,1,1,1,1
278,115713,tt0470752,0,0,0,1,1
279,33794,tt0372784,0,0,0,0,1
280,1025,tt0057546,0,0,0,0,1
281,1028,tt0058331,0,1,0,0,1
282,1027,tt0102798,0,0,0,0,1
283,74754,tt0368226,1,1,0,0,1
284,1032,tt0043274,0,1,0,0,1
285,1033,tt0082406,1,0,1,1,1
286,1035,tt0059742,0,0,0,0,1
287,1036,tt0095016,0,0,0,0,1
288,1037,tt0104692,0,0,0,0,1
289,41997,tt0408306,0,0,0,0,1
290,1041,tt0117589,0,1,0,0,0
291,1046,tt0115640,0,0,1,1,1
292,82976,tt0011656,0,1,0,1,1
293,1059,tt0117509,0,1,0,0,1
294,74789,tt1014759,0,0,0,1,1
295,1073,tt0067992,0,1,0,1,1
296,1077,tt0070707,0,0,0,0,1
297,1078,tt0066808,0,0,0,0,1
298,1079,tt0095159,0,1,0,0,1
299,115770,tt3060492,1,1,0,1,1
300,1084,tt0061418,0,0,1,0,1
301,1086,tt0046912,0,1,0,1,1
302,1088,tt0092890,1,1,1,0,1
303,1089,tt0105236,0,0,0,0,1
304,1090,tt0091763,0,0,0,0,1
305,1092,tt0103772,0,0,0,0,1
306,1093,tt0101761,0,0,1,0,1
307,33863,tt0028401,1,0,1,0,1
308,1096,tt0084707,1,1,0,1,1
309,1097,tt0083866,0,1,1,1,1
310,1095,tt0104348,0,0,0,1,1
311,1101,tt0092099,0,0,0,0,1
312,1103,tt0048545,0,1,0,0,1
313,1104,tt0044081,0,1,0,0,1
314,1127,tt0096754,0,0,0,0,1
315,66665,tt1176740,0,1,1,1,1
316,1129,tt0082340,0,0,0,0,1
317,1136,tt0071853,0,0,1,0,1
318,1148,tt0108598,0,0,0,1,1
319,25748,tt0014972,0,1,0,0,1
320,1173,tt0097108,0,1,0,0,0
321,1178,tt0050825,0,1,0,0,1
322,1183,tt0116209,0,0,0,0,1
323,1186,tt0098724,1,1,0,1,0
324,1188,tt0105488,0,1,0,1,1
325,74916,tt1234654,1,1,0,1,1
326,1193,tt0073486,0,1,0,0,1
327,1196,tt0080684,0,0,1,0,1
328,1197,tt0093779,0,1,0,0,1
329,1198,tt0082971,0,0,0,0,1
330,1199,tt0088846,0,1,0,0,1
331,1200,tt0090605,0,0,0,0,1
332,1203,tt0050083,0,0,0,0,1
333,1204,tt0056172,0,1,0,0,1
334,1206,tt0066921,0,1,0,0,1
335,1207,tt0056592,0,0,1,0,1
336,1208,tt0078788,0,0,0,0,1
337,1210,tt0086190,0,0,0,0,1
338,1212,tt0041959,0,1,0,0,1
339,1214,tt0078748,0,0,0,0,1
340,58559,tt0468569,0,0,0,0,1
341,1217,tt0089881,0,0,0,0,1
342,1219,tt0054215,0,1,1,1,1
343,1222,tt0093058,0,0,0,0,1
344,1224,tt0097499,0,0,0,0,1
345,1225,tt0086879,0,1,0,0,1
346,1228,tt0081398,0,0,0,1,1
347,1230,tt0075686,0,1,0,0,1
348,1231,tt0086197,0,0,1,1,1
349,1234,tt0070735,0,0,0,0,1
350,1235,tt0067185,0,1,0,0,1
351,1236,tt0103130,1,1,1,1,1
352,42197,tt0444653,0,0,1,1,1
353,1240,tt0088247,0,0,0,0,1
354,1242,tt0097441,0,0,0,0,1
355,1244,tt0079522,0,0,1,1,1
356,1245,tt0100150,0,0,0,0,1
357,1246,tt0097165,0,0,0,0,1
358,1247,tt0061722,0,1,1,0,1
359,1248,tt0052311,0,1,0,0,1
360,1250,tt0050212,0,1,0,0,1
361,1252,tt0071315,0,1,0,0,1
362,1254,tt0040897,0,0,1,0,1
363,1256,tt0023969,0,1,0,0,1
364,1258,tt0081505,0,0,1,1,1
365,1259,tt0092005,0,1,0,0,1
366,1261,tt0092991,0,1,0,0,1
367,1262,tt0057115,0,0,0,0,1
368,1263,tt0077416,0,0,1,0,1
369,1265,tt0107048,1,1,0,0,1
370,1266,tt0105695,0,0,0,0,1
371,1267,tt0056218,0,0,0,0,1
372,1269,tt0036613,0,0,1,1,1
373,1270,tt0088763,0,1,0,0,1
374,1271,tt0101921,0,1,0,0,1
375,1272,tt0066206,0,0,0,0,1
376,1273,tt0090967,0,0,1,0,1
377,25850,tt0030241,1,1,1,1,0
378,1275,tt0091203,0,1,0,0,1
379,1276,tt0061512,1,0,0,1,1
380,107771,tt1714915,0,1,0,0,1
381,1278,tt0072431,0,1,0,0,1
382,1279,tt0102536,0,1,1,1,1
383,1280,tt0101640,0,1,0,0,1
384,1281,tt0032553,0,0,0,0,1
385,1283,tt0044706,1,0,0,0,1
386,1284,tt0038355,0,1,1,1,1
387,1285,tt0097493,0,1,1,0,1
388,115973,tt3390572,0,0,0,0,1
389,1287,tt0052618,0,0,0,1,1
390,1288,tt0088258,0,0,0,0,1
391,1291,tt0097576,0,0,1,0,1
392,1293,tt0083987,0,0,0,1,1
393,1299,tt0087553,0,0,0,0,1
394,1302,tt0097351,0,1,0,0,1
395,1303,tt0073341,0,0,0,0,1
396,1304,tt0064115,1,0,1,0,1
397,1305,tt0087884,0,0,1,1,1
398,1307,tt0098635,1,1,0,1,1
399,1327,tt0078767,0,0,0,0,1
400,1347,tt0087800,0,1,1,0,1
401,1350,tt0075005,0,1,0,0,1
402,1354,tt0115751,0,1,0,0,1
403,1356,tt0117731,0,0,0,0,1
404,1358,tt0117666,0,1,0,1,1
405,1370,tt0099423,0,1,1,0,1
406,1372,tt0102975,0,0,1,0,1
407,1375,tt0088170,0,0,0,0,1
408,1374,tt0084726,0,0,0,0,1
409,1376,tt0092007,0,0,1,0,1
410,1378,tt0096487,0,0,1,0,1
411,1380,tt0077631,1,1,0,0,1
412,1377,tt0103776,0,0,1,0,1
413,132456,tt0456144,0,1,0,0,1
414,107883,tt2350496,0,1,1,0,1
415,91500,tt1392170,0,0,0,0,1
416,1387,tt0073195,0,1,0,0,1
417,1393,tt0116695,1,0,0,1,0
418,1394,tt0093822,0,1,1,0,1
419,34162,tt0396269,0,1,1,0,1
420,1396,tt0105435,0,0,0,0,1
421,1405,tt0115641,0,0,1,0,1
422,1407,tt0117571,0,0,1,0,1
423,1411,tt0116477,0,0,1,0,1
424,91529,tt1345836,0,0,0,0,1
425,91542,tt1515091,0,0,0,1,1
426,50601,tt0398808,1,1,1,1,1
427,116138,tt2802154,0,1,0,0,1
428,58803,tt0478087,0,1,0,1,1
429,1464,tt0116922,0,1,0,0,1
430,1466,tt0119008,0,1,0,0,1
431,116161,tt1100089,0,0,0,0,1
432,1483,tt0115964,1,1,1,0,1
433,50641,tt0076162,0,1,1,1,0
434,26082,tt0056058,0,0,0,0,1
435,1517,tt0118655,0,0,0,0,1
436,1527,tt0119116,0,0,0,0,1
437,91658,tt1568346,0,1,0,0,1
438,26122,tt0058430,0,1,0,0,1
439,67087,tt1155056,0,1,0,1,1
440,1566,tt0119282,0,1,0,0,1
441,1573,tt0119094,0,0,0,0,1
442,1584,tt0118884,0,0,1,0,1
443,1588,tt0119190,0,1,1,0,1
444,1610,tt0099810,0,0,0,0,1
445,99917,tt2084989,0,0,0,0,1
446,1617,tt0119488,0,0,0,0,1
447,1620,tt0119468,0,0,0,0,1
448,1625,tt0119174,0,1,0,0,1
449,34405,tt0379786,0,0,0,0,1
450,1639,tt0118842,1,1,0,0,1
451,1641,tt0119164,0,1,0,0,0
452,1644,tt0119345,1,1,1,0,1
453,1645,tt0118971,0,1,0,0,1
454,1653,tt0119177,0,0,0,1,1
455,58998,tt0800039,1,1,1,1,1
456,26231,tt0066214,0,0,0,0,1
457,67193,tt1135487,0,1,0,1,1
458,34437,tt0412019,0,1,0,0,1
459,1673,tt0118749,1,1,1,0,1
460,1674,tt0090329,0,1,1,1,1
461,1682,tt0120382,1,0,1,1,1
462,108190,tt1840309,0,1,0,0,1
463,1704,tt0119217,0,1,0,0,1
464,26285,tt0069945,0,0,0,0,1
465,1719,tt0120255,0,0,0,0,1
466,1721,tt0120338,1,1,1,1,1
467,1729,tt0119396,0,1,0,1,0
468,1732,tt0118715,0,1,0,0,1
469,1747,tt0120885,0,0,0,0,1
470,1748,tt0118929,0,0,0,0,1
471,1754,tt0119099,0,0,0,0,1
472,100060,tt1937339,0,1,1,1,1
473,42725,tt0456554,1,1,1,1,0
474,34534,tt0430105,0,0,1,0,1
475,42732,tt0408985,1,1,0,1,1
476,1777,tt0120888,1,1,1,0,1
477,1784,tt0119822,1,1,0,0,1
478,91902,tt1925421,0,1,0,1,1
479,1805,tt0120890,0,0,0,0,1
480,100159,tt2023690,1,1,1,0,1
481,1884,tt0120669,0,0,0,0,1
482,1892,tt0120787,0,1,0,1,1
483,83827,tt1391092,0,0,1,0,1
484,1907,tt0120762,0,0,0,0,1
485,51063,tt0425601,0,1,0,0,1
486,1921,tt0138704,0,1,0,0,1
487,1923,tt0129387,0,1,0,0,0
488,1927,tt0020629,0,1,0,1,1
489,1939,tt0036868,0,0,0,0,1
490,100244,tt1869716,0,0,0,0,1
491,1942,tt0041113,1,0,1,1,1
492,26519,tt0087789,1,1,1,1,0
493,1944,tt0045793,0,0,0,0,1
494,1945,tt0047296,0,0,0,0,1
495,1946,tt0048356,0,1,1,1,0
496,1947,tt0055614,0,1,0,0,1
497,1949,tt0060665,0,0,0,1,1
498,1950,tt0061811,0,1,0,0,1
499,26528,tt0088727,0,0,1,1,1
500,1953,tt0067116,0,0,0,0,1
501,1954,tt0075148,0,0,1,0,1
502,1955,tt0079417,0,1,1,1,1
503,1956,tt0081283,0,1,0,1,1
504,1952,tt0064665,0,1,0,0,1
505,1958,tt0086425,0,1,0,0,1
506,1957,tt0082158,0,1,0,0,1
507,1959,tt0089755,0,1,0,0,1
508,1961,tt0095953,0,1,0,0,1
509,1967,tt0091369,0,1,0,0,1
510,1968,tt0088847,0,0,0,1,1
511,59315,tt0371746,0,0,0,0,1
512,1974,tt0080761,0,0,1,0,1
513,1982,tt0077651,0,0,1,0,1
514,1983,tt0082495,0,0,0,0,1
515,1994,tt0084516,0,1,1,0,1
516,1997,tt0070047,1,1,1,0,1
517,2000,tt0093409,0,1,0,0,1
518,2003,tt0087363,0,0,0,1,1
519,2011,tt0096874,0,1,0,0,1
520,2012,tt0099088,0,1,0,0,1
521,2018,tt0034492,0,0,0,0,1
522,2019,tt0047478,0,0,0,0,1
523,2020,tt0094947,0,1,0,0,1
524,2021,tt0087182,0,0,0,0,1
525,2022,tt0095497,0,0,0,0,1
526,59369,tt0936501,0,1,0,0,1
527,2025,tt0119558,0,1,0,0,1
528,2028,tt0120815,0,0,0,0,1
529,59387,tt0460791,0,1,1,0,1
530,2046,tt0091059,0,0,1,0,1
531,2048,tt0091149,0,1,1,0,1
532,2058,tt0120768,0,0,0,0,1
533,2066,tt0039689,0,1,0,0,1
534,2067,tt0059113,0,1,0,0,1
535,2076,tt0090756,0,1,0,0,1
536,59421,tt1033643,0,1,0,0,1
537,2080,tt0048280,0,1,1,1,0
538,2081,tt0097757,0,1,0,0,1
539,2085,tt0055254,0,1,0,0,1
540,26662,tt0097814,1,0,1,0,1
541,2087,tt0046183,0,0,0,0,1
542,2096,tt0053285,0,0,1,1,1
543,92210,tt1572781,0,1,1,0,1
544,51255,tt0425112,0,1,0,0,1
545,2105,tt0084827,0,0,0,0,1
546,116797,tt2084970,0,1,0,0,1
547,2109,tt0079367,0,1,1,0,1
548,116799,tt1791528,0,1,0,0,1
549,2115,tt0087469,0,0,1,0,1
550,2116,tt0077869,0,0,0,0,1
551,2132,tt0061184,0,0,0,1,1
552,2133,tt0092513,0,1,0,0,1
553,2139,tt0084649,0,1,0,1,1
554,2140,tt0083791,0,0,0,0,1
555,2143,tt0089469,0,1,0,0,1
556,2144,tt0088128,1,1,1,1,0
557,59501,tt0499448,0,1,0,0,1
558,2160,tt0063522,0,1,0,0,1
559,2161,tt0088323,0,1,0,0,1
560,2167,tt0120611,0,1,0,0,1
561,2174,tt0094721,0,0,1,1,1
562,2176,tt0040746,0,0,0,0,1
563,2183,tt0049470,0,1,1,0,1
564,2186,tt0044079,0,1,0,0,1
565,2193,tt0096446,0,0,0,0,1
566,2194,tt0094226,0,0,0,0,1
567,26776,tt0104652,0,1,0,0,1
568,2203,tt0036342,0,1,1,0,0
569,2208,tt0030341,0,1,0,0,1
570,116905,tt2981768,0,0,0,0,1
571,84152,tt1219289,0,1,0,0,1
572,108729,tt2316411,1,1,1,1,1
573,26810,tt0106341,0,1,0,0,0
574,51412,tt0435705,0,0,1,0,1
575,84187,tt0860906,0,1,0,0,1
576,2268,tt0104257,0,0,0,0,1
577,2273,tt0120812,0,0,1,0,1
578,2278,tt0122690,0,0,0,0,1
579,2288,tt0084787,0,0,0,0,1
580,2291,tt0099487,0,1,0,0,1
581,2297,tt0120889,0,1,1,1,1
582,92420,tt1706593,1,1,0,0,1
583,2318,tt0147612,0,1,0,1,1
584,26903,tt0113824,0,1,0,0,1
585,2329,tt0120586,0,0,0,0,1
586,133419,tt2848292,1,1,1,1,0
587,2352,tt0085244,1,1,1,1,0
588,2353,tt0120660,0,0,0,0,1
589,2355,tt0120623,0,0,1,1,1
590,76091,tt1216496,0,1,0,0,1
591,76093,tt0892769,0,1,0,0,1
592,2366,tt0024216,0,0,0,0,1
593,141636,tt4429128,0,1,1,0,0
594,2393,tt0120844,0,1,0,0,1
595,2394,tt0120794,0,0,0,1,1
596,2395,tt0128445,0,1,0,0,1
597,2396,tt0138097,0,0,0,0,1
598,92509,tt1606389,0,1,1,1,0
599,92507,tt1599348,0,0,0,0,1
600,2401,tt0089767,0,0,0,0,1
601,2403,tt0083944,0,1,0,0,1
602,2407,tt0088933,0,0,1,1,1
603,100714,tt2209418,1,1,1,1,1
604,2413,tt0088930,0,0,1,0,1
605,2420,tt0087538,0,0,0,0,1
606,2423,tt0097958,1,1,0,1,0
607,2424,tt0128853,0,0,1,1,1
608,2427,tt0120863,0,0,0,0,1
609,43396,tt0412080,1,0,1,1,1
610,59784,tt0441773,0,0,0,0,1
611,108949,tt2172985,0,0,0,0,1
612,84374,tt1411238,1,1,1,1,1
613,27032,tt0127357,0,0,0,0,1
614,2459,tt0072271,0,1,1,0,1
615,67997,tt1226774,0,0,0,1,1
616,2470,tt0090555,0,1,0,0,1
617,84392,tt1189340,0,0,0,0,1
618,117176,tt2980516,0,0,0,1,1
619,2490,tt0120784,0,1,0,0,1
620,2501,tt0132477,0,1,0,1,1
621,2502,tt0151804,0,1,0,0,0
622,51662,tt0416449,0,0,0,0,1
623,76251,tt1250777,0,0,0,0,1
624,2528,tt0074812,0,0,0,0,1
625,2529,tt0063442,0,0,0,0,1
626,92643,tt2011971,0,1,0,0,1
627,68073,tt1131729,0,0,1,0,1
628,2542,tt0120735,0,0,0,0,1
629,2571,tt0133093,0,1,0,0,1
630,2572,tt0147800,0,1,0,1,1
631,2599,tt0126886,1,1,0,1,1
632,2617,tt0120616,0,0,0,0,1
633,2618,tt0118826,0,0,0,1,1
634,68157,tt0361748,0,1,0,0,1
635,2640,tt0078346,0,0,0,0,1
636,2641,tt0081573,0,0,1,0,1
637,2648,tt0021884,0,0,0,0,1
638,2657,tt0073629,0,1,0,0,1
639,68194,tt1226271,0,0,0,1,1
640,2664,tt0049366,0,1,0,0,1
641,2671,tt0125439,0,1,1,1,1
642,84601,tt1401152,0,1,0,0,1
643,2686,tt0120802,0,1,0,0,1
644,2687,tt0120855,0,0,0,0,1
645,2690,tt0122541,0,1,1,1,0
646,60040,tt0800080,0,0,0,0,1
647,2700,tt0158983,0,1,0,0,1
648,68237,tt1182345,0,0,0,1,1
649,2706,tt0163651,1,1,0,1,1
650,2710,tt0185937,0,0,1,0,1
651,2712,tt0120663,0,1,0,1,1
652,2716,tt0087332,0,0,0,0,1
653,2717,tt0097428,0,0,1,0,1
654,2726,tt0049406,0,1,0,0,1
655,2728,tt0054331,0,0,0,0,1
656,60072,tt0493464,0,1,0,0,1
657,2730,tt0072684,0,0,0,0,1
658,68269,tt0962736,0,0,1,1,1
659,27317,tt0235198,0,1,0,0,1
660,2745,tt0091530,0,0,0,0,1
661,2750,tt0093818,0,0,1,0,1
662,2761,tt0129167,0,1,0,0,1
663,2762,tt0167404,1,1,0,0,1
664,2763,tt0155267,0,1,1,1,1
665,51931,tt0490204,1,0,1,1,1
666,60126,tt0425061,0,0,1,0,1
667,51935,tt0822854,0,0,0,0,1
668,2791,tt0080339,0,0,1,0,1
669,84716,tt1499666,0,1,1,1,1
